fecha,hora,rival,cancha,categoria,resultado
2026-03-08,10:00,FRONTERA,San Martín de los Andes,SENIORS,2-1
2026-03-10,21:30,LAS ROSAS,San Martín de los Andes,SENIORS,1-0
2026-03-15,13:30,SARMIENTO,San Martín de los Andes,SENIORS,3-2
2026-03-23,21:30,VELEZ,San Martín de los Andes,SENIORS,0-0
2026-03-29,13:30,ARENAL,San Martín de los Andes,SENIORS,2-1
2026-04-08,21:30,LAS ROSAS,San Martín de los Andes,SENIORS,1-1
2026-04-12,19:45,COMUNICACIONES,San Martín de los Andes,SENIORS,3-0
2026-04-19,11:45,DINAMO,San Martín de los Andes,SENIORS,8-6
2026-04-26,18:00,FRONTERA,San Martín de los Andes,SENIORS,1-7
2026-05-01,21:00,SARMIENTO,San Martín de los Andes,SENIORS,
2026-05-08,21:30,VELEZ,San Martín de los Andes,SENIORS,
2026-05-17,13:30,ARENAL,San Martín de los Andes,SENIORS,
